epoch,accuracy,dice_coef,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9455621242523193,0.45770248770713806,0.5520843863487244,1e-04,0.760171115398407,0.955697774887085,0.9292629957199097,0.9865136742591858,0.970402181148529,0.6309515833854675,0.38086751103401184,0.8783960342407227,0.9703490734100342,0.9697970151901245,0.9901213049888611
1,0.9717520475387573,0.6652334332466125,0.34426403045654297,1e-04,0.8265284299850464,0.9717183709144592,0.9710964560508728,0.9905789494514465,0.9769640564918518,0.7057952284812927,0.3179314434528351,0.8844804763793945,0.9767361283302307,0.9765241146087646,0.9922485947608948
2,0.9753704071044922,0.6980100274085999,0.31460416316986084,1e-04,0.8370214700698853,0.9752455949783325,0.9747989177703857,0.9917522668838501,0.973279595375061,0.6866374015808105,0.3200525939464569,0.8638973236083984,0.9731836915016174,0.9727886915206909,0.9910653829574585
3,0.9782712459564209,0.716587245464325,0.2956436276435852,1e-04,0.8588771820068359,0.978087842464447,0.9777433276176453,0.9926977753639221,0.982406735420227,0.7462485432624817,0.2716987133026123,0.8929901123046875,0.9821449518203735,0.9820061922073364,0.9940503835678101
4,0.9803531765937805,0.7335211038589478,0.2798033058643341,1e-04,0.8624978065490723,0.9801104068756104,0.979870080947876,0.9933738708496094,0.9819522500038147,0.7493760585784912,0.2667514979839325,0.8793426752090454,0.9816957116127014,0.9815338253974915,0.9939011931419373
5,0.9828187823295593,0.7499828338623047,0.2654172480106354,1e-04,0.871442437171936,0.9825639724731445,0.9823967814445496,0.9941907525062561,0.9832820296287537,0.7539597749710083,0.25233903527259827,0.8898749351501465,0.983029842376709,0.9829139113426208,0.9943473935127258
6,0.9833102226257324,0.758490264415741,0.25810056924819946,1e-04,0.8762122392654419,0.9830496311187744,0.9829223155975342,0.9943513870239258,0.9854357838630676,0.775760293006897,0.2380441576242447,0.8739160895347595,0.9851369857788086,0.985044538974762,0.9950480461120605
7,0.9847373366355896,0.7671511769294739,0.24992604553699493,1e-04,0.8773248791694641,0.9844640493392944,0.9843606352806091,0.9948225617408752,0.9821301102638245,0.7589321136474609,0.2569805383682251,0.8876323103904724,0.9818781614303589,0.9817928671836853,0.9939614534378052
8,0.9850063323974609,0.7739428877830505,0.23836715519428253,1e-04,0.8722065687179565,0.9847055673599243,0.9846139550209045,0.9949052333831787,0.9865617752075195,0.7939265370368958,0.2322891801595688,0.8584399223327637,0.9862591028213501,0.9862233996391296,0.9954217076301575
9,0.985525906085968,0.7892975807189941,0.23706687986850739,1e-04,0.892071008682251,0.9852373600006104,0.9851558804512024,0.9950804710388184,0.9858506321907043,0.7941698431968689,0.2414454221725464,0.8406314849853516,0.985569179058075,0.9855274558067322,0.995191752910614
