epoch,accuracy,dice_coef,loss,lr,mean_io_u_1,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_loss,val_mean_io_u_1,val_precision,val_sensitivity,val_specificity
0,0.9404090046882629,0.4215351641178131,0.5916915535926819,1e-04,0.7276062965393066,0.9549678564071655,0.925992488861084,0.9859064221382141,0.9578644633293152,0.5847550630569458,0.4184829890727997,0.7985695600509644,0.9596328139305115,0.9554697275161743,0.986578643321991
1,0.9655200839042664,0.6237967610359192,0.38493919372558594,1e-04,0.8092014789581299,0.965979814529419,0.9642598032951355,0.9886715412139893,0.9727405905723572,0.6540544629096985,0.3533490300178528,0.8687639236450195,0.9727177619934082,0.9720352292060852,0.990912914276123
2,0.9716836810112,0.6783511638641357,0.3300229012966156,1e-04,0.8220195770263672,0.97154301404953,0.9709792137145996,0.9905225038528442,0.9651037454605103,0.6943942308425903,0.3120100498199463,0.7772167921066284,0.9649161100387573,0.9644803404808044,0.9883136749267578
3,0.9752362370491028,0.6981008052825928,0.31105586886405945,1e-04,0.8131561875343323,0.9750131964683533,0.9746508598327637,0.9916744232177734,0.977353036403656,0.7203096747398376,0.2867715656757355,0.8200864195823669,0.9770557880401611,0.9767929315567017,0.9923568964004517
4,0.9789928197860718,0.7303006649017334,0.2818203866481781,1e-04,0.8379738330841064,0.9786931276321411,0.9784379601478577,0.9929009079933167,0.9808618426322937,0.7377758622169495,0.2793760895729065,0.877820611000061,0.9805181622505188,0.9803993701934814,0.9935110211372375
5,0.9780578017234802,0.7230662107467651,0.29008689522743225,1e-04,0.8250062465667725,0.9778183102607727,0.9775261282920837,0.9926090240478516,0.9817772507667542,0.7414839267730713,0.26618221402168274,0.8869951963424683,0.9814938306808472,0.9812557101249695,0.9938349723815918
6,0.9810346961021423,0.737397313117981,0.283426433801651,1e-04,0.8949833512306213,0.9807572960853577,0.980570912361145,0.9935889840126038,0.9763556718826294,0.7513707280158997,0.2765001952648163,0.8717207908630371,0.9760822057723999,0.975984513759613,0.9920297861099243
7,0.9843800067901611,0.7600052952766418,0.25770702958106995,1e-04,0.9027294516563416,0.9840768575668335,0.9839635491371155,0.9946944117546082,0.9831860065460205,0.7610013484954834,0.25002533197402954,0.8607751131057739,0.9828870892524719,0.9827519655227661,0.9942995309829712
8,0.9840676784515381,0.7569626569747925,0.2580457925796509,1e-04,0.8964889645576477,0.9837779998779297,0.9836424589157104,0.9945932030677795,0.9860162138938904,0.7788655757904053,0.2418462634086609,0.931775689125061,0.9857134819030762,0.9856545925140381,0.9952399134635925
9,0.9857251644134521,0.7761592268943787,0.24305735528469086,1e-04,0.910415530204773,0.9854010343551636,0.9853194355964661,0.9951346516609192,0.9855832457542419,0.7795485258102417,0.24811752140522003,0.8882596492767334,0.9852592349052429,0.985210120677948,0.9950894713401794
