epoch,accuracy,dice_coef,loss,lr,mean_io_u_1,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_loss,val_mean_io_u_1,val_precision,val_sensitivity,val_specificity
10,0.9845820665359497,0.7723602056503296,0.24819506704807281,1e-04,0.9112908244132996,0.9842975735664368,0.9842016100883484,0.994766891002655,0.9815182685852051,0.7336073517799377,0.2819579541683197,0.8332058191299438,0.9812949895858765,0.9811298251152039,0.9937702417373657
11,0.9869212508201599,0.7887819409370422,0.2361648976802826,2e-05,0.8961873054504395,0.9865749478340149,0.9864805936813354,0.9955261945724487,0.9868463277816772,0.792656660079956,0.23347562551498413,0.904676079750061,0.9865060448646545,0.9864698648452759,0.9955037832260132
12,0.9878235459327698,0.7895270586013794,0.22682803869247437,2e-05,0.9096570611000061,0.9874737858772278,0.9874049425125122,0.9958264231681824,0.9878352284431458,0.7955691814422607,0.22883348166942596,0.9177542924880981,0.9874976873397827,0.9874582886695862,0.9958338737487793
13,0.9888705015182495,0.805789053440094,0.21836748719215393,2e-05,0.9160447120666504,0.9885207414627075,0.988470196723938,0.9961753487586975,0.9865292310714722,0.7901665568351746,0.2303629070520401,0.9218748807907104,0.9862377047538757,0.986205518245697,0.9954137206077576
14,0.9889488220214844,0.8120752573013306,0.2082260102033615,2e-05,0.9182299971580505,0.9885839223861694,0.9885419011116028,0.9961967468261719,0.9879210591316223,0.7964063286781311,0.22745361924171448,0.9214227199554443,0.9875878691673279,0.9875503182411194,0.99586421251297
15,0.9896932244300842,0.8193864822387695,0.20330137014389038,2e-05,0.9280309081077576,0.9893428087234497,0.9893093705177307,0.9964491724967957,0.9880194067955017,0.7991794347763062,0.2318165898323059,0.9248431324958801,0.9877108931541443,0.9876937866210938,0.9959059953689575
16,0.9895908236503601,0.8180779814720154,0.21000471711158752,2e-05,0.9286297559738159,0.9892486929893494,0.9892237782478333,0.996417224407196,0.988406777381897,0.8069901466369629,0.2289268672466278,0.9376940727233887,0.9880914092063904,0.9880770444869995,0.9960319995880127
17,0.9896377921104431,0.8225588202476501,0.20844705402851105,4e-06,0.9265888929367065,0.9892637133598328,0.9892356395721436,0.9964235424995422,0.9883576035499573,0.8041943907737732,0.22405248880386353,0.9343507885932922,0.9880360960960388,0.9880223870277405,0.9960139393806458
18,0.9900891780853271,0.8292816281318665,0.1958477646112442,4e-06,0.9323871731758118,0.9897118210792542,0.9896903038024902,0.996571958065033,0.9886353015899658,0.8039004802703857,0.2236758917570114,0.9337524175643921,0.9883127808570862,0.9882997274398804,0.9961071014404297
19,0.989901602268219,0.8265646696090698,0.20353975892066956,4e-06,0.9270145893096924,0.9895304441452026,0.9895071983337402,0.9965116381645203,0.9886566400527954,0.805694580078125,0.2227969616651535,0.9276321530342102,0.9883337616920471,0.9883249402046204,0.9961137175559998
20,0.989932656288147,0.82923823595047,0.2025037705898285,4e-06,0.9257137775421143,0.9895639419555664,0.9895432591438293,0.9965231418609619,0.9887343645095825,0.8076388239860535,0.22324934601783752,0.9314513802528381,0.988413393497467,0.9884068965911865,0.9961391687393188
21,0.9901865720748901,0.8257415294647217,0.2055068463087082,4e-06,0.9249203205108643,0.9898123145103455,0.989791750907898,0.9966057538986206,0.9886658787727356,0.8067401051521301,0.2226422280073166,0.9312170743942261,0.9883432388305664,0.9883330464363098,0.9961168169975281
22,0.9904838800430298,0.8289229273796082,0.20222066342830658,4e-06,0.9291472434997559,0.990115225315094,0.9900984168052673,0.9967073798179626,0.9888731837272644,0.8102473020553589,0.22304998338222504,0.9360363483428955,0.988556444644928,0.9885507225990295,0.9961866736412048
23,0.9902486801147461,0.8216313719749451,0.20622095465660095,4e-06,0.9299873113632202,0.9898905754089355,0.9898746013641357,0.9966307282447815,0.9889010190963745,0.808600127696991,0.22197523713111877,0.9376775026321411,0.9885827898979187,0.9885762929916382,0.9961961507797241
24,0.9908611178398132,0.8351058959960938,0.20039159059524536,4e-06,0.9342334270477295,0.9904975891113281,0.9904815554618835,0.9968348145484924,0.9889525175094604,0.8110775947570801,0.22226031124591827,0.940636396408081,0.9886385202407837,0.9886344075202942,0.9962154030799866
25,0.9910163283348083,0.8397963643074036,0.19574512541294098,4e-06,0.9386894702911377,0.9906567335128784,0.9906437397003174,0.9968869090080261,0.9889122247695923,0.8115229606628418,0.22158941626548767,0.9426941871643066,0.9885978698730469,0.988596498966217,0.9962019324302673
26,0.9901967644691467,0.8273912668228149,0.20552359521389008,4e-06,0.9343685507774353,0.9898362159729004,0.9898267388343811,0.9966133832931519,0.9887206554412842,0.8096733689308167,0.22082510590553284,0.9394974112510681,0.9884077310562134,0.9884066581726074,0.996137797832489
27,0.9906282424926758,0.843193531036377,0.18966200947761536,4e-06,0.951116681098938,0.990278959274292,0.9902737140655518,0.9967608451843262,0.9887440800666809,0.8197340965270996,0.2142372578382492,0.9699735641479492,0.9884597659111023,0.9884708523750305,0.9961543679237366
28,0.9901767373085022,0.8373668193817139,0.19371727108955383,4e-06,0.9717342257499695,0.9898540377616882,0.9898576140403748,0.996618390083313,0.9887601733207703,0.8255209922790527,0.20296208560466766,0.9783695340156555,0.9884921908378601,0.9885090589523315,0.9961667060852051
29,0.9899470210075378,0.8384532928466797,0.18812426924705505,4e-06,0.9790350198745728,0.9896581768989563,0.9896695613861084,0.9965538382530212,0.9885963797569275,0.8265485763549805,0.19563840329647064,0.978796124458313,0.9883369207382202,0.9883590936660767,0.9961156845092773
30,0.9907919764518738,0.8557286262512207,0.1636584848165512,4e-06,0.9792649149894714,0.9904897809028625,0.9905030131340027,0.9968315362930298,0.9883185625076294,0.8262708783149719,0.19964346289634705,0.9781570434570312,0.9880731701850891,0.9880979657173157,0.9960258603096008
31,0.9900617003440857,0.8420500755310059,0.17953115701675415,4e-06,0.9761974811553955,0.9897597432136536,0.9897738099098206,0.9965883493423462,0.9888287782669067,0.8277570605278015,0.19407890737056732,0.9784203767776489,0.9885616898536682,0.9885822534561157,0.9961904287338257
32,0.9901898503303528,0.8424044847488403,0.175593763589859,4e-06,0.9763798713684082,0.989873468875885,0.9898838996887207,0.9966259598731995,0.9887368679046631,0.8286348581314087,0.19118288159370422,0.9743854999542236,0.9884603023529053,0.9884777665138245,0.99615478515625
33,0.9905341863632202,0.8458768725395203,0.17070762813091278,4e-06,0.9754033088684082,0.990219235420227,0.9902278184890747,0.9967414140701294,0.988746702671051,0.8267868757247925,0.19093148410320282,0.9741671681404114,0.9884729981422424,0.9884908199310303,0.9961588978767395
34,0.9906209111213684,0.8468063473701477,0.16922828555107117,4e-06,0.9761595726013184,0.9903045892715454,0.9903191328048706,0.9967697262763977,0.9886173605918884,0.828517735004425,0.19109152257442474,0.9749288558959961,0.988347589969635,0.9883689284324646,0.9961186051368713
35,0.9905349612236023,0.8472825288772583,0.16786757111549377,4e-06,0.974968671798706,0.9902218580245972,0.9902349710464478,0.9967427849769592,0.9887115359306335,0.8277658224105835,0.19143742322921753,0.9726376533508301,0.9884359240531921,0.9884541630744934,0.9961463809013367
36,0.990632176399231,0.8458666205406189,0.16944611072540283,1e-06,0.9739872217178345,0.9903101325035095,0.9903189539909363,0.9967728853225708,0.9887602925300598,0.8282052278518677,0.19058413803577423,0.9737462997436523,0.9884829521179199,0.9885013103485107,0.996162474155426
37,0.9906471371650696,0.8491652011871338,0.16445039212703705,1e-06,0.9745737314224243,0.9903250932693481,0.9903374314308167,0.9967765808105469,0.9888286590576172,0.8286869525909424,0.1903059333562851,0.9745102524757385,0.988552987575531,0.9885720610618591,0.9961870908737183
38,0.9905802011489868,0.8483672738075256,0.16787360608577728,1e-06,0.9732495546340942,0.9902663826942444,0.9902763366699219,0.9967570900917053,0.988794207572937,0.8282678127288818,0.1902756690979004,0.974079966545105,0.9885193705558777,0.9885364770889282,0.9961749315261841
39,0.9904327988624573,0.8461208343505859,0.1704695224761963,1e-06,0.9729055166244507,0.9901096224784851,0.9901227355003357,0.9967046976089478,0.9888064861297607,0.8285552859306335,0.18929442763328552,0.9744070768356323,0.9885278940200806,0.9885448217391968,0.9961777329444885
40,0.9906811714172363,0.8547585010528564,0.16059285402297974,1e-06,0.9734971523284912,0.9903626441955566,0.990372896194458,0.9967883229255676,0.9887727499008179,0.828721821308136,0.1893598735332489,0.9736510515213013,0.988494336605072,0.9885111451148987,0.9961667060852051
41,0.9906573295593262,0.8526932597160339,0.15985599160194397,1e-06,0.9731517434120178,0.9903321862220764,0.9903393387794495,0.9967792630195618,0.9888275265693665,0.8284391164779663,0.1890558898448944,0.9732903242111206,0.9885461926460266,0.988562822341919,0.9961856603622437
42,0.9905183911323547,0.8457212448120117,0.16822440922260284,1e-06,0.9731770753860474,0.9901990294456482,0.9902088046073914,0.9967353343963623,0.9888333082199097,0.8287116289138794,0.18897928297519684,0.9750862717628479,0.9885549545288086,0.9885722994804382,0.996185839176178
43,0.9908408522605896,0.8500310182571411,0.16518251597881317,1e-06,0.9758672714233398,0.9905165433883667,0.9905282855033875,0.9968416690826416,0.9888466000556946,0.828551709651947,0.1887339949607849,0.9742497205734253,0.9885666966438293,0.9885850548744202,0.996189534664154
44,0.9906226396560669,0.8474307060241699,0.16521836817264557,1e-06,0.9734727144241333,0.9902908205986023,0.9903018474578857,0.9967644214630127,0.9888942837715149,0.829214334487915,0.18849419057369232,0.9737805128097534,0.9886136054992676,0.9886326789855957,0.9962076544761658
